随机波动 114： 世界如此疯狂，我们何必正常
   会议讨论了文学、创作、女性主义作家的主题，包括阅读赫塔米勒的《呼吸秋千》和思考暴力等话题，探讨了东欧历史和文化，
中国对社会主义现实主义文学的定义存在问题，还探讨了金艾兰和萨利鲁尼的作品以及他们对读者的影响，以及女性在文化大革命期间的经历和女性主义问题。
会议旨在平衡奉献和追求个人成长，使生活更美好。
00:00:11	女性主义作家会议：细读政治线索，聊作家作品
00:34:48-->00:34:53	结果大家就会比较这两者然后就说哎这个他可能没说实话他传记里说的也不是实话
00:35:01-->00:35:04	一起去进进行比较还是去讨论他的那个
00:35:04-->00:35:07	到底有没有抛弃孩子呀然后就这些问题还是很
00:35:11-->00:35:19	但岳然会怎么看就是比如说在文学研究里面研究作者的生平其实一直都是很重要的一个路径对吧就比如说
00:35:19-->00:35:24	我们去年也请了黄新村老师来嗯嗯我们节目就他那个书其实也是
00:35:29-->00:35:33	比如说新材料出现也是一个很重要的因素比如说他之前的信
00:35:36-->00:35:39	那这个对于学术研究来说就是一个新材料
00:35:39-->00:35:45	大量的新的研究其实就是建立在新材料出现的基础之上要不然他就没有什么新的可以研究嘛
00:35:45-->00:35:49	我觉得这好像也是一个很大的问题就包括他在梳理
00:35:52-->00:35:56	以一种窥思的方式进行解读的所谓的考据派
00:36:03-->00:36:06	但是好像这个边界又其实是挺模糊的嗯
00:36:09-->00:36:15	可能就是像岳然讲的那种就是当我们去研究它的生平不管是以什么样的一种方法去研究
00:36:21-->00:36:24	把他的作品和生平做这种对读和比较上
00:36:27-->00:36:32	因为一个作品会想知道他的人是什么样这种是一种特别
00:36:34-->00:36:38	然后如果做成像费兰特那样我觉得他确实是一种行为艺术了
00:36:42-->00:36:46	费兰特他在他的等于他在他的呃访谈录里讲的
00:36:54-->00:37:01	就是大概可以判断说他妈妈应该不是裁缝就这种已已经到了一个就是他虚构了一个作者的生平
00:37:01-->00:37:04	他就变成一个行为艺术了他是很有意思
00:37:06-->00:37:09	就是对所有作者都这么去做的事情
00:37:09-->00:37:12	所以我觉得怎么能找到一个比较良性的关系
00:37:12-->00:37:16	你们心里有觉得是比较良性的关系是什么比如说
00:37:17-->00:37:23	像阿特伍德就是你可能也知道他的一点点经历但是你你好像也没那么关心
00:37:23-->00:37:30	他的经历因为他写好多好多书他也就情就很多对对对就好像这还蛮良性的就是说你
00:37:30-->00:37:34	不是每天去研究说阿特伍德到底经历了什么就是你好像放弃了
00:37:40-->00:37:44	良性的比较舒适的一个地带吧就是说你了解一些人
00:37:44-->00:37:48	其实也帮助你支撑了你对这个作品的一些理解
00:37:49-->00:37:52	就是你想不停的了解人而不想看这个作品的地步
00:37:52-->00:37:57	就是没有到了就本末倒置的地步买渎还珠的地步那我觉得就
00:37:58-->00:38:03	是不是我觉得这也没法儿就是咱们去愿望因为像张爱玲和
00:38:03-->00:38:06	来新就是他人生就是比较丰富
00:38:06-->00:38:09	那可能阿 q 伍德他就没有那么多
00:38:11-->00:38:14	跟胡兰成这种人有什么关系啊就没有这么多
00:38:17-->00:38:21	而且我觉得还有一个就是虽然你不能说他的作品就是自传体或者什么
00:38:22-->00:38:25	但他确实是以他的人生作为很多材料
00:38:25-->00:38:29	或者说在反思他自己人生的过程中产生了很多虚构的作品
00:38:29-->00:38:32	有一些作家他的创作方法可能就不是这样的
00:38:32-->00:38:39	那也很难在里面建立什么联系对嗯所以就是我我觉得我在做那个女作家那课的时候我就会想的一句话就是
00:38:40-->00:38:43	一个女作家到底需要多大程度的教出自己
00:38:43-->00:38:47	就是其实在有一些我们看到比较极致的文本里面
00:38:47-->00:38:56	女作家真的是把自己就是像捐躯一样的捐给了文学比如说莱新我觉得她自己和她的文学就没办法分割了画在他的文学里了
00:38:56-->00:39:00	张爱玲基本上也是也是这样的就是你没有办法把她从她的文学里分割出来
00:39:14-->00:39:18	作家去扮演了一个祭司的角色你好像是把一个东西去
00:39:18-->00:39:21	祭奉给神他其实等于是把自己给
00:39:23-->00:39:27	这个作品它能让我们带入那么深能够沉浸的那么深
00:39:36-->00:39:39	对所以女作家的有一些作品里面真的有一个
00:39:39-->00:39:42	很深的交付的这种感觉吧但但
00:39:43-->00:39:49	你你同时也是一位女作家而且你就是你的写作生命期就是虽然你很年轻但写作生命已经很长
00:39:49-->00:39:55	而且就是从你很小的时候其实就被公众认识到你是一个女作家嗯那在你写作的过程中你会面对这样的问题吗
00:39:56-->00:40:02	肯定有啊就是谁谁都有一个嗯我觉得都有一个现世的还是希望自己能够
00:40:03-->00:40:08	正常我觉得还有一个问题就是女作家萦绕在脑边是正常一点好吗就是
00:40:08-->00:40:12	怎么会老是会觉得自己不正常这个也是一个问题
00:40:12-->00:40:16	就是来新的紧箍咒是叫做理理智一点好
00:40:16-->00:40:19	嗯来来信真的是会跟人不停的说哎
00:40:22-->00:40:27	理智是他对女作家一个对他自己一个非常高的一个要求就是我不能够动
00:40:30-->00:40:34	对那我觉得我经常会想到就是正常因为我觉得好像很多时候
00:40:35-->00:40:43	就是女作家不正常会容易不正常会的这样的一个想法为什么是写作的过程会给你这样的感受吗
00:40:43-->00:40:48	写作过程不会但是就有的时候会觉得自己是不是就偏激或者很多的想法
00:40:51-->00:41:00	就是会你觉得正常是指敏感的意思吗就比如说你有的时候对一些事情你觉得它很重要而别人觉得不重要是这个意思吗
00:41:00-->00:41:03	哦我举一个特别呃就是简单的例子就是比如说
00:41:04-->00:41:08	其实呃我我我有孩子然后呢我我我是一个母亲然后
00:41:13-->00:41:16	很亏欠我的孩子因为我觉得我不是一个很正常的
00:41:21-->00:41:27	具体说哪儿不正常呢我得我觉得也很难说出来是哪里比别人少了
00:41:32-->00:41:34	就像我的妈妈跟我就是我觉得
00:41:35-->00:41:38	嗯最奇特的地方是小的时候他会
00:41:38-->00:41:41	呃很以我为骄傲就是因为我觉得他可能会觉得
00:41:42-->00:41:45	呃有自己的有自己可以发展的事业或者什么
00:41:46-->00:41:51	但是等我做了母亲以后我觉得她最大的愿望是正常一点好吗你可以做一个更正常的
00:41:55-->00:42:07	哎那你研究比如这几几位女作家的时候你会突然有一瞬间觉得哎她也不是很正常你跟他取得了共鸣当然我觉得这个过程里面是一觉得说啊太好了她也不正常比如呢
00:42:07-->00:42:13	都不正常呀我觉得他没有哪有正常的就是我是觉得这个正常就是一个
00:42:16-->00:42:36	你你们不会有这个问题吗难道只有我就是被归主流一样对你们难道没有人会觉得说你已经就是按照你的标准我们已经不正常了但我们这个版派几个不正常正常的话我们会觉得别人觉得但你们会别人会会问你觉得说比如说你们是文艺女青年然后你们的啊比如说女性主义的标准或者很多东西非常常
00:42:36-->00:42:49	高然后别人会觉得你们不太觉得是你接触了社会面比我们广太多了就是我们其实就基本上就我们这个其实大都不正常对就是你们保自我保护非常强你们已经不接触
00:42:52-->00:42:57	其实简单就是我们知到这种人我们觉得他们不正常对
00:42:58-->00:43:03	觉得你说这个其实就是是一个被女性是一个被规训的那个过程
00:43:03-->00:43:15	对吧就是其实你说的正常是只符合一个比较主流的这样的一个标准比如说你刚刚说的母亲是你要做一个好的母亲对有点像说你要做到 a b c d e 然后要符合
00:43:15-->00:43:18	大家认为的一个好的母亲的标准
00:43:18-->00:43:38	对但是我觉得其实文学的意义是不是就是告诉你说不正常也可以是但是你看这些比如说来新的母殖就是这个部分还是会被大家认为说很不正常比如说他抛弃孩子的这个事情包括他后来的那个孩子养的也是就是会很多人因为他后来孩子一直没有工作就他完全养的那个孩子很多人又会
00:43:38-->00:43:45	会质疑说他把那个孩子养成了一个巨婴就是还是会从母亲的身上去找
00:43:46-->00:43:49	问题会觉得说这些都是因为他
00:43:49-->00:44:09	不太正常不是一个正常的母亲没有办法把孩子变成一个更正常的我觉得还是会有这样的一个环绕着你的一个声音就是尤其是当你做一个比如说母亲包括还有老师这样的一些社会身份的时候你就会感觉到就是你就会受到一个正常或者受到一个主流的一个声音
00:44:09-->00:44:29	对你的呼唤吧那那你会觉得比如说刚才你讲的好像文学是一场祭祀你是把自己寄出去嗯你会觉得你寄出去之后你得到了一个回应就是你不能做一个正常的母亲或者是正常你感觉是报应是是是这种感觉吗对我我觉得其实坦率说我会觉得我心里
00:44:30-->00:44:44	呃来心的话他是来心所以他可以不正常然后呢我我还不是他然后所以我是不是还是正常正常对所以你还有一种更可怕的想法是你觉得哦我我既然做不到
00:44:45-->00:44:57	那么好那么伟大那么我应该把我自己缩减成一个就是正更正常一的的所以这个也很悲惨就是你会对自己有一个嗯适度的一个约束
00:44:57-->00:45:02	你这感觉是两座大山就是既有一层社会期待还有一层职业期待
00:45:02-->00:45:08	但是但我觉得这个完全是刚才视爷讲的那个镜像嘛就如果他发生在一个男性的艺术家身上
00:45:13-->00:45:21	所以你的我们不能用一个社会约定俗成的标准去要求你嗯你不正常是一个特权反而给你带来的特权
00:45:21-->00:45:29	对嗯但是女性我觉得很难尤其是你你真的还是会去想说这些你你是可见的你
00:45:29-->00:45:32	好像没有办法完全的符合这个规范
00:45:32-->00:45:40	嗯那你就会想说其实好像有个声音是如果你你做的这些事情是一个特别特别重要
00:45:41-->00:46:01	啊有价值的事情那你可以这么做但是往往你你每次这么想的时候你都会怀疑你的价值做的是不是一个特别重要在面对那个你那个规范的时候你就会对你的价值产生很大的怀疑嗯对但你觉得这些会体现在你的写作里吗我觉得会啊会会有这些思考会有这
00:46:02-->00:46:06	矛盾的地方对所以我就是觉得我在
00:46:06-->00:46:11	嗯学习这些女作家的时候其实也在寻找就帮帮自己去寻找很多的
00:46:14-->00:46:34	对就是通过学习不正常的人生脉搏忽然发现我们聊的打开的时候就是聊到就是其实完全抛弃了政治的时候大家聊的非常开心这个又是特别正直的我觉得真的我觉得别往回拉了哇真的我是我特别庆幸我问了这个问题
00:46:35-->00:46:43	对其实这是个很大的话题就是说因为嗯就是说你其实是不是周围的声音是不是
00:46:43-->00:46:46	对你来说是一个支持你觉得你可以做一个
00:46:49-->00:46:53	但是你很多时候你都会收到的是一个很灰心的东西就是你应该更正常
00:46:56-->00:47:07	一个一个一个身份尤其是像母亲这种身份他是非常要求正常的就他是一个呃就是我觉得没有人会喜欢一个特别
00:47:07-->00:47:27	不正常的那些情绪化然后特别就是对吧就是你说出来很多东西是假话比如说我我我觉得我一直印象很深的是那个苏珊桑塔格的那个儿子他说他小的时候那个戴位礼服他小的时候一直是活在那个睡在客人们的衣服上的因为他家门口就是全每天都是派对嘛家
00:47:27-->00:47:33	门口就那个嗯床上全是一堆衣服他就困了以后就趴在里面就睡着了
00:47:34-->00:47:54	我觉得挺好啊但是从谁的视角看呢如果人家孩子觉得挺好那确实挺好的对吧但是你你从这个角度你觉得小孩儿睡在那里是特别合适的就是每天晚上是和大人们的派对一起就是好像嗯对那你会有一天想问问你的孩子就是你
00:47:54-->00:47:56	你觉得你妈妈正不正常这样的问题吗
00:47:57-->00:48:02	他也没有办法选择一次我觉得这期标题应该用那个
00:48:02-->00:48:22	什么文特森的那个书叫什么何必快乐是吧我我何必正何对何必正就只要快乐何必正常类似是一个这样的名字怎么从政治聊到了这个正常当时我就想到萨利鲁尼那个正常人嗯是不是你真的这期变成了正
00:48:22-->00:48:31	这正不正常这个体重已经改不过来了真的是但是那个正常人不就告诉我们你你虽然这样但是你是正常的吗
00:48:31-->00:48:38	对而且你会觉得最近几年的很多女作家的书其实都是在写一些所谓不正常的
00:48:39-->00:48:46	就是你也提到那个雷切尔卡斯克他在写自己的母侄啊什么的就是我觉得是越来越多的女性开始
00:48:46-->00:48:52	站出来其实他们是挑战这个正常的标准了而不是说在想说我自己是不是符合这个标准
00:48:56-->00:49:00	她对于女性来说是不是太苛刻你会觉得有这样一个变化吗
00:49:00-->00:49:09	有我觉得雷雷切尔卡斯克是我非常喜欢的作家非常喜欢但是那本书其实我觉得它并没有触犯到特别
00:49:09-->00:49:12	大的底线但他在西方也还是引起很多人的反感
00:49:12-->00:49:23	就是好像你现在说就是他那个书里只是说他不那么喜欢当母亲然后他其实在生了孩子以后有一段可能比较厌恶比较反感的这个时期
00:49:23-->00:49:26	然后但是就是还是会有很多的人会
00:49:26-->00:49:29	攻击他我在我看来那个书其实并没有
00:49:31-->00:49:36	其实还没有来新做那个表现的那种极致当然来新是小说可能会好一点
00:49:37-->00:49:42	但是他的书还是会有很多的人反对我觉得已经算是挺有勇气的
00:49:42-->00:49:56	事情了就是他想承认说我没有那么喜欢做母亲嗯然后其实做了母亲的时候有非常一段时间我就是只想逃离这个这个这个指责嗯那你会觉得男性有不正常的
00:49:57-->00:50:01	时候嘛就是你看一个男的会用这个正常的标准去看他吗
00:50:02-->00:50:07	我觉得我很少但我发现其实周围的男性经常还是用这个女性正不正常
00:50:09-->00:50:17	嗯你觉得呢就是你平时能感觉到是吗就是能感觉到我们认真的感就是我稍微男的太少衡量你吗
00:50:17-->00:50:23	嗯我觉得我一直在努力扮演正常人他们也不太容易就是
00:50:23-->00:50:42	我不知道就是我我会觉得男性经常还是会有一种觉得女性就是还是那个正常的意思很重要一条还是理性就是他们觉得你得讲理然后能够正常的沟通然后女性很容易失去就是情感容易情绪化然后容易失去
00:50:48-->00:51:00	不正常就是情感的失控但是其实在来新的作品里面其实我觉得沃尔夫是最典型的就是沃尔夫也花了很多很多的精力在约束自己的情绪上
00:51:03-->00:51:07	但他在花很多情绪在约束自己他也觉得理性
00:51:11-->00:51:14	情绪的崩溃是一种典型的女性的
00:51:14-->00:51:18	特质所以怎么管理情绪就变成了
00:51:28-->00:51:48	嗯对我现在已经听不了正常了对我觉得好像到了我们这里我们会想的就是说其实男的也可能不正常就是他其实是一个标准的问题就包括刚说情绪化可能我们之前最常讨论的是说就是男性经常指责女性情绪化但实际上男性可能更情绪化而男的一旦发疯
00:51:48-->00:51:56	这个危害比女的可是大太多了嗯对其实我们好像会去纠正这个标准本身而不是把自己放在里面
00:51:57-->00:52:02	对但是就是我觉得就是好像有一种独属于女性的那种情绪的
00:52:04-->00:52:08	疾病似的就是他们没有那么容易控制你看这些女作家就会觉得
00:52:09-->00:52:12	真的很辛苦的在强调理性在强调那种
00:52:12-->00:52:17	嗯就是理性其实好像就等于一种在在来西那里他就是
00:52:26-->00:52:30	一个人的理性实际上是他建立这个智慧的一个基础
00:52:30-->00:52:33	就你如果没有这个东西其实就等于你你你就是
00:52:36-->00:52:40	所以她那个女性的这个理性是非常重要是她作为一个知识分子的一个
00:52:42-->00:52:46	对所以他对自己有很高的这方面的要求
00:53:01-->00:53:04	所以沃尔夫用了很多比如说雌雄同体啊这些
00:53:06-->00:53:16	自己的对就是对就他的把那部分好我我同意你存在你你不太正常啊但是我还同时有一个另外的理性的人格我是
00:53:27-->00:53:31	对所以好像很多的女作家都要处理这个
00:53:31-->00:53:39	但你会觉得随着比如说时代的发展可能从沃尔福到费兰特或者到萨利鲁尼女性有在慢慢的挣脱这个枷锁吗
00:53:40-->00:53:43	有有有肯定有但是我觉得就是
00:53:44-->00:53:48	就是反正是一个很缓慢的什么时候
00:53:48-->00:53:51	再也听不到男性说正常这两个字的时候对吧
00:53:53-->00:53:59	嗯察察那你在写作的时候会想吗会想说我我在写作的时候要保持理性
00:53:59-->00:54:03	嗯我觉得生活中会更多一些写作中
00:54:06-->00:54:11	女作家真的有一种天赋就是教出自己的天赋就是回到我们刚才说
00:54:14-->00:54:17	所以在在写作中很多的女作家其实在
00:54:23-->00:54:26	故事包括那个人物的一个融合
00:54:35-->00:54:39	就是写作记忆更高的一种当然当然就是
00:54:39-->00:54:51	其实它可以变成更高关键看标准是谁定对我们的标准定的是说好像这样不太高那那就不高对不对就是看看这个标准掌握在谁的手里它完全可以是一种
00:55:02-->00:55:08	就是所以我说就是比如说女作家里面会讲像里斯佩克朵这种作家她就
00:55:08-->00:55:11	有点像赫塔米勒那种失性的语言然后很
00:55:14-->00:55:16	呃那么强的政治的隐喻在里面就很
00:55:18-->00:55:21	但你就会觉得他那个写作就是连着自己的就是很自然就是
00:55:22-->00:55:25	我今天就是坐那儿没事了我就写一点就是他的
00:55:25-->00:55:29	整个的生命好像都在他的写作里面流动的那种感觉嗯
00:55:31-->00:55:34	其实也很珍贵的但是很多时候我们会觉得这个写作
00:55:37-->00:55:40	脉络里面他在讲什么他
00:55:46-->00:55:49	就是所谓的双标的感觉就是当女性
00:55:51-->00:55:54	跟自己的身体跟你的生命经验连在了一起
00:55:54-->00:55:57	但当男的来写情绪的时候就被认为是一种普世的情绪
00:55:58-->00:56:00	就有点像你在对读第十九号房间跟
00:56:01-->00:56:06	对另外那一篇的时候就是发生了那个效果就像男作家也会写情绪去年那本
00:56:06-->00:56:10	在绝望之巅其实他也就不断的在写自己的虚望自己的绝望是怎样
00:56:10-->00:56:14	但他我们会认为他描述的是一种人类普遍精神状态
00:56:16-->00:56:19	对就所以其实男作家天然就有一种
00:56:22-->00:56:27	我有什么不懂呢有这么多的文学的前辈的作品你们应该读过了
00:56:36-->00:56:41	你看一下你能明白吗请看你赶请看一下正不正常
00:56:44-->00:56:48	那个所以那个托卡尔丘克就说他也其实女性立场特别强
00:56:57-->00:57:05	就是很好的女性主义的成长呢嗯就是因为我们经典作品都是男性的就是你能找到的很好的人物其实有很多
00:57:05-->00:57:09	都是男性的他说你看女性就是要么是什么女仆
00:57:09-->00:57:15	要么是什么情人然后就是他列举了很多很多的身份他觉得那些身份其实是
00:57:22-->00:57:27	比如说他会写一个女有点像耶稣的耶耶就是女女的圣人
00:57:27-->00:57:30	他就是把一些女性没做过的角色都让女性去
00:57:30-->00:57:33	站一下然后让女性去表达一下在那个位置上
00:57:36-->00:57:42	还有就是比如说老年的女性你们有没有发现包括像正言就是阿特伍德那个就近年有一种
00:57:42-->00:57:54	流行写老年女性的一种我们也我们也期待这个中国的这个剧里面能赶快出现这个老年女性叙事啊这个这个空白还没有嗯没有被填补就是
00:57:57-->00:58:02	但是脱胎而去课就会觉得说其实老年女性有一种自由就是她
00:58:04-->00:58:07	这个事情的关注以后其实获得了特别开阔的
00:58:07-->00:58:11	一个事业然后又非常自由它是一种
00:58:12-->00:58:24	角色好神奇我们上一期跟周成茵老师他也聊到更年期女性故事嗯对女性他就说他有一个同事在研究的课题就是后更年期的女性
00:58:24-->00:58:33	他认为这个是女性有点像是第二个巅峰这种感觉嗯嗯就是无论是你作为一个创作者还是作为一个人你都进入了一个完全不同的境界
00:58:34-->00:58:40	后额年期女性这个形象也挺有意思的就好像你失去了你的生育能力之后
00:58:41-->00:58:44	你就不再被计较你是不是你是理性的还是歇斯底里的了
00:58:58-->00:59:02	有一个是呃 she 来 haitty 就是那个写那个房间里的母亲她就写过
00:59:09-->00:59:12	也就他那时候大概可能是其实没有到更年期大概是到了
00:59:13-->00:59:16	四十岁左右的时候他就意识到自己可能获得了一种
00:59:17-->00:59:20	就是他感觉到男性的目光不再跟着他的时候获得了自由
00:59:20-->00:59:24	然后托卡尔丘克也也写过就这种后更年期的女性就是
00:59:26-->00:59:28	嗯就他走在机场走在所有的地方他感觉到
00:59:38-->00:59:42	对所以有很多的女性其实都有这个认识就是
00:59:45-->00:59:55	是一个好像是一个重新要被自己定义的就是你可以用自由去感受它就不用再问自己是不是正常对就不用再用问自己是正常了
00:59:55-->01:00:02	那我们要等到那么多年以后才能我刚才也介绍一个自你们现在是最苦的时候跟你们说一下
01:00:02-->01:00:08	那个按照爱丽丝门罗老师的这个定义你们现在处在最苦的时间里面
01:00:08-->01:00:16	就是因为他说认为是我不好意思就是大大概是在三十左右这个时间就这段时间里面是就是其实女性
01:00:20-->01:00:23	为了家庭为了很多的事情就是去
01:00:25-->01:00:30	然后那你就很容易在这个时间里被击垮或者被什么就离开了你原来想要
01:00:33-->01:00:37	就是我觉得那个门罗在那个采访里就是他一点都不留恋
01:00:37-->01:00:40	所谓的好像这段还挺年轻的时间
01:00:43-->01:00:46	辛苦的养孩子然后是写作没有着落
01:00:50-->01:00:53	就是失去了的这样的一个一个状态
01:00:53-->01:00:56	那么罗老师还是正常女性我觉得我们就是
01:00:56-->01:01:00	嗯在在不正常的路上也会去怀疑那个自由
01:01:06-->01:01:10	就是文化圈一直被一股这个 me too 的浪潮席卷了我们三个就也会
01:01:10-->01:01:16	在群里回忆在文化圈参与过的有中老年男性的饭局嗯就你会发现
01:01:19-->01:01:23	审视的目光然后这个目光既来自于男性也来自于
01:01:23-->01:01:30	女性其他女性其他女性而这个其他女性呢又有一种你是说其他女性觉得你们不正常对吗不是是
01:01:30-->01:01:36	就是你说比如这种老女女性中老年之后她有一种自由就是男性不再看她穿什么
01:01:38-->01:01:43	这个背景是有新的更年轻的女性填补到了这个被男性凝视的这个空间里去对
01:01:44-->01:01:49	一代一代女性都是都是要经历这样一个不自由的被凝视的过程
01:01:55-->01:02:00	作为小女孩的时候那样好像女性坐在人生的中段你永远就是
01:02:01-->01:02:04	就是要不断的往前滚像一个流水线一样嗯嗯
01:02:04-->01:02:07	这一波的 me too 浪潮里其实也们让我们看到了很多
01:02:09-->01:02:15	书写自己的经历我觉得也有点呼应你刚才说的好像女性在写的时候永远都是
01:02:15-->01:02:27	情绪表达在前面的永远都是嘶吼状态好像把自己要献出去你要自证一些什么是对我们在在这次那个小莫的那样一个自述里面其实你也看到了这样一种
01:02:28-->01:02:31	精细的写自己的情绪嗯就是我厌恶被
01:02:34-->01:02:37	而只有你把自己完全交付出你要把自己
01:02:42-->01:02:46	好像你才能证明这个骚就是在别人看来轻飘飘的骚扰
01:02:50-->01:02:54	对我觉得这个就是我们可能说的这个交付的意义就是你看到的所有的
01:02:54-->01:02:58	每次女性表达都得触及到特别深的那种
01:03:10-->01:03:14	对我这一次就也有很多人又提起了那个房思琪的初恋乐园嘛
01:03:16-->01:03:21	这种性侵性躁的事情发生都有人提起这个文本这一次比较特别的就是史航还是
01:03:21-->01:03:25	呃这本书的推荐人之一就让这个事情好像变得更
01:03:27-->01:03:30	然后我印象很深的就悦然在女作家系列里面
01:03:30-->01:03:33	其实也提到了这本书嗯还是跟卡特那样一个
01:03:33-->01:03:36	写作方式的一个对读就是女性如何写信
01:03:38-->01:03:41	对然后其实我们之前在列提纲时候跃然也有表达过
01:03:41-->01:03:44	一种担心就是把这两个文本对读会不会有一些
01:03:44-->01:03:48	可能政治不正确的这种风险对我觉得谈方思琪非常难
01:03:51-->01:03:55	呃我觉得他会引起很多争议但是我一直想表达的就是说
01:03:55-->01:03:59	我也是觉得我们不能老把它当成一个控诉的文本来
01:04:05-->01:04:10	也是因为它是一个很好的文学作品是的那文学作品为什么我们不能承认它里面有
01:04:12-->01:04:14	嗯嗯就是他如果是个新闻报道他不就实现了
01:04:16-->01:04:19	那为什么我们现在受到的冲击远远比新闻报道大
01:04:32-->01:04:34	而且最可怕的是我觉得他一人是分饰两
01:04:40-->01:04:45	就他其实在谁的角度他是在那个李国华的那个角度去凝视自己
01:04:46-->01:04:49	一个人要变两个角色他要在他的角色感受
01:04:49-->01:04:52	他还要想象另外那个人是怎么样去看待他
01:04:56-->01:04:58	这样这个作品其实才能够写出现在的
01:05:16-->01:05:19	也享受了里面美的东西就是有很多的
01:05:21-->01:05:26	反正我觉得就是当你承认他美的时候就会感觉到有一种不道德的东西
01:05:33-->01:05:41	嗯所以我觉得这个是比较难讨论的地方就是因为它本身在文本里其实也提到巧言令色是李国华的一重
01:05:43-->01:05:47	羊皮也好所以其实就是让你更难讨论因为你会觉得
01:05:47-->01:05:52	他的美似乎也是这样一种遮蔽或者一种迷惑性的东西
01:05:55-->01:06:01	就是他其实有一重视角是站在李国华的视角来审视自己就是站在那个狼的视角来看羔羊
01:06:15-->01:06:20	但是就是我们就回头一想就觉得不对就是就会有一种其实道德的一种
01:06:23-->01:06:27	好像似乎分享了某种东西但是最后其实分享的是
01:06:30-->01:06:38	灵魂肉身所以我们就会有一种不道德的感觉但是卡特那个文本就不会给我们感这样的感觉因为他那个女主角没有真的危险
01:06:40-->01:06:47	写给女性的一个色情的情色的一个东西就是是对对染血知士里面就是她把自己献给那个兰
01:06:47-->01:06:51	嗯其实也有他把自己看成一个羔羊他说
01:06:51-->01:06:55	我就像一本书什么被翻开然后怎么样怎么样有很多这种比喻
01:06:58-->01:07:06	因为那个就是好像就是他就是写给女性的我们在那个幻想里面获得一些愉悦但是我们知道其实女女女孩最后没事儿
01:07:10-->01:07:21	而且我还想起来建国之前应该也编译过界面发过一篇就是一个英国的女作家她在讨论说我们应该怎么书写暴力它里面讲到一个很重要的一点就是说不要
01:07:24-->01:07:27	观众可以带入一个施施虐者的角度或者说一个
01:07:28-->01:07:32	施害者的角度去想象这个女性然后她举了一个很具体的例子比如说
01:07:32-->01:07:38	他在一个书里面要写一个情节是这个男的拿一个斧头把这个女的砍了一下
01:07:39-->01:07:49	呃如果是他来写的话他不会写后面这个女的比如说她是怎么鲜血模糊就是有点像是带入这个施害者的角度让大家去亲历这个女性是怎么样受害的
01:07:49-->01:07:52	这样的一个过程他觉得这个过程本身是暴利的
01:07:52-->01:08:03	他可能如果是从一个受害者的角度写这个事情他可能就是把这个一笔带过了我觉得有点像可能电影里面你用视听语言的时候你怎么分辨这个创作者本身的意图究竟是什么
01:08:04-->01:08:07	就他究竟是想让你带入一个受害者的角度还是施害者的角度
01:08:07-->01:08:11	他究竟是把这个暴力完整的血腥的呈现出来还是说
01:08:12-->01:08:16	受害者的角度来说他可能是一个一闪而过的回忆
01:08:18-->01:08:22	但是我觉得林意涵这个复杂的点就在于说他其实
01:08:23-->01:08:28	是一个受害者但他同时又把自己想象成了一个受害者所以就让这个问题更加难以讨论
01:08:30-->01:08:35	对所以其实我们还是能看出来就是比如说卡特那个文学里面他就
01:08:35-->01:08:40	就是你就你说的他没有展示那个女性的痛苦他其实展示的还是
01:08:40-->01:08:44	享受的部分然后那个男性的暴力又不是真的是一个
01:08:44-->01:08:47	无可挽回的一个恐惧就跟我们看到有一些
01:08:48-->01:08:52	好莱坞里面他杀人你也不会觉得特别的特别难受一样就是因为他就是一个
01:09:09-->01:09:12	因为我们在获得一种满足或者获得一种
01:09:13-->01:09:19	要承认他不是新闻的时候嗯对那么我们站在谁的角色里面嗯
01:09:22-->01:09:25	还是林寒交付的那个东西我觉得还是挺惨
01:09:32-->01:09:35	类型的文本里面它很厉害的地方就是因为
01:09:41-->01:09:44	暴力的那个深层东西而不是我们阅读一个简单的一个新闻
01:09:47-->01:09:55	对然后这里面好像也有小说本身复杂的那一部分就是小说文本的复杂可能就在这里就是对比
01:09:56-->01:10:00	一个法国女作家写的那个同意那本书嗯就是其实控诉
01:10:03-->01:10:06	或者当你把它写成一个自传的时候你去讲
01:10:06-->01:10:10	自己十四岁的时候如何被当时法国一个著名的男的作家
01:10:12-->01:10:18	右肩嗯右肩也好或者是就是两个人是情人然后发生了关系然后
01:10:18-->01:10:23	当时他十四岁觉得这个东西没关系因为当时电视上大家看的也是
01:10:23-->01:10:27	摇滚明星跟未成年人谈恋爱啊每个人都觉得很正常
01:10:30-->01:10:36	但是我回头再看这段关系充满了扭曲嗯这段关系不正常嗯他其实是在告诉
01:10:36-->01:10:40	我们就是那个社会不正常嗯或者那个时候大家的法律观念不正常
01:10:49-->01:10:53	好像两重视角扭曲在一起然后你感受到的美也是充满了
01:10:59-->01:11:06	自传或者说是非虚构达达到达不到的一个对对对我只是希望大家能看到说这个文本里面其实
01:11:06-->01:11:09	它作为文学因为我们现在太多的时候把它就当成一个
01:11:22-->01:11:25	所以其实这也说回了我们说的政治的这个话题就是
01:11:28-->01:11:31	就是其实很多时候我觉得
01:11:31-->01:11:35	嗯不管是女性还是男性在书写政治在书写很多的时候
01:11:37-->01:11:40	用的是文学的载体其实还是要看
01:11:46-->01:11:50	事件重要不重要然后那个事件大还是小或者是什么
01:11:54-->01:12:00	呃就是关于这种政治的文本我觉得还有一个就是可能会一直流传下来的就是
